#{"t_start": 1695647713.2101433, "env_id": null}
r,l,t
69.660656,6,66075.065615
66.273853,7,66116.724161
92.56219,8,66166.174154
114.552331,11,66232.391318
115.442925,11,66297.574735
115.022242,11,66361.541311
122.870574,11,66424.954595
130.061247,11,66490.846546
130.060405,11,66557.30597
101.556106,10,66617.856334
120.656534,11,66682.808497
156.192755,10,66743.188333
46.233938,5,66773.892385
147.368509,8,66820.492456
122.92025,11,66884.42036
70.870528,2,66898.644497
123.561614,11,66962.113138
118.735641,11,67029.205515
122.410097,11,67095.860712
102.835693,8,67145.537929
148.340366,8,67193.88822
134.19464,11,67259.058245
119.623747,11,67324.07092
123.186929,11,67390.108629
122.52495,11,67453.782496
124.622663,11,67520.541682
86.778591,8,67568.383596
124.749413,11,67636.22284
124.710191,11,67703.004136
118.556604,11,67769.468365
123.692243,11,67837.055726
68.974911,2,67849.528406
120.167992,11,67914.233071
118.391521,11,67980.00683
123.39356,11,68045.050112
117.090195,11,68109.132225
121.712944,6,68146.417517
84.215144,7,68188.452447
124.528328,11,68253.880991
67.263017,6,68289.547692
123.733541,11,68355.719968
120.221928,11,68421.496238
83.626057,3,68441.045152
118.273706,11,68508.369386
77.543419,6,68546.162397
81.774806,7,68588.755123
67.420764,7,68631.70167
125.807296,11,68696.848963
84.942638,8,68746.293503
114.393002,11,68811.561428
121.679963,11,68876.74454
100.920318,8,68924.17619
142.243478,8,68972.953267
123.571856,11,69040.660719
118.112871,11,69106.095865
121.16247,11,69173.898329
122.547633,6,69211.594283
148.796509,8,69262.525743
126.745645,11,69327.750319
148.048763,8,69375.326773
67.861683,2,69388.85793
160.144889,9,69442.108831
103.157661,10,69500.786592
72.406082,7,69543.007058
168.158403,10,69603.340575
62.10906,6,69639.907452
74.254733,8,69689.528247
125.164903,11,69756.306108
100.031432,8,69805.844875
117.327879,6,69841.854355
100.496303,11,69908.704962
124.95067,11,69973.690164
116.329801,10,70033.520175
118.710936,11,70099.42869
123.204299,11,70164.605255
109.832201,5,70195.169588
63.771654,6,70230.960161
93.753207,9,70286.021708
109.790277,5,70317.137241
122.628742,6,70353.854559
121.627266,11,70419.924236
169.951436,10,70478.54336
124.22342,11,70543.550541
123.941574,11,70608.521454
124.087825,11,70675.005371
84.514467,11,70741.299421
102.275518,5,70772.203985
121.69245,11,70838.006005
123.513337,11,70903.376772
75.005126,7,70944.756672
112.775948,7,70986.682902
123.047281,11,71050.538772
119.908348,11,71116.111832
170.975871,10,71174.171338
116.832329,11,71239.020618
118.226489,11,71303.948688
120.449535,11,71369.668368
121.993195,11,71435.187251
109.055687,5,71467.332294
113.278757,10,71529.591959
78.71781,8,71578.533489
77.865503,6,71615.150156
123.259815,11,71680.662774
70.267454,7,71723.050625
122.74063,11,71787.046306
123.076615,11,71852.500373
118.610261,11,71917.48023
113.910496,11,71982.008035
95.72979,4,72007.0594
122.345294,11,72072.476907
121.379205,11,72136.61082
120.975424,7,72176.792283
119.041091,11,72242.026378
172.029727,10,72301.20899
58.655865,5,72330.641511
124.024536,11,72397.82141
76.824064,8,72445.543253
120.174414,11,72510.840595
101.301459,10,72572.659396
111.276085,11,72637.355116
125.446171,11,72702.025779
119.530537,6,72738.242522
124.003131,11,72803.971777
84.757762,8,72851.442836
141.718335,11,72917.772835
120.281361,11,72982.410384
85.544938,8,73030.654037
123.262569,11,73095.873678
123.994297,11,73160.682148
142.70505,8,73209.486062
119.218579,11,73275.030034
118.489014,11,73339.42462
120.211239,10,73399.653886
122.926948,11,73466.007534
124.66215,11,73530.618654
147.407311,8,73579.902408
118.429735,11,73646.318299
81.01127,8,73693.719267
117.240902,11,73758.233123
87.122323,8,73805.236772
158.260699,10,73865.25002
120.805208,11,73930.024987
173.245862,10,73989.518828
94.814248,4,74014.271643
120.430826,11,74077.905529
124.448996,11,74143.290967
120.053118,11,74209.386686
126.149107,11,74275.416452
101.822006,11,74339.93314
124.567569,11,74405.437489
98.857504,9,74458.51944
121.519916,11,74523.55266
124.171368,11,74590.888826
55.87421,6,74627.795169
114.279986,11,74690.950927
74.930942,8,74738.178752
123.76915,11,74802.949929
90.584752,7,74845.551716
116.144362,11,74912.046853
114.383878,11,74978.18293
59.90497,6,75014.927122
124.154003,11,75079.86281
124.006295,11,75145.531088
123.101323,11,75210.382062
101.995266,11,75276.142645
167.798166,10,75336.492024
117.553542,11,75402.661745
119.486013,11,75467.628578
131.506153,11,75533.281581
125.243358,11,75599.982478
121.164516,11,75665.078151
116.67313,11,75731.157747
122.346875,11,75795.639594
103.54646,10,75857.9892
115.382113,11,75922.621089
95.384215,8,75970.46029
123.970053,11,76036.587682
119.448906,10,76095.020047
3.0,1,76102.803096
120.232157,11,76169.004176
117.66644,11,76234.520849
92.783976,8,76281.855558
122.042035,11,76347.940122
171.655423,10,76409.836118
76.219424,7,76451.880059
138.571841,11,76517.52584
124.385696,11,76582.468599
122.472378,11,76644.834255
135.746352,7,76687.19135
120.775422,11,76753.524115
125.148261,11,76818.653521
93.630889,9,76873.147908
108.431304,10,76935.499985
48.0,1,76942.934443
121.019022,11,77007.205539
120.180172,11,77072.955593
119.300849,11,77139.014185
128.197664,10,77196.499641
122.997093,11,77260.397494
119.819868,11,77324.797801
118.431154,11,77389.952915
122.637422,11,77455.034716
120.413132,11,77521.904141
124.621252,11,77586.045604
148.096132,8,77633.568411
148.050992,8,77681.177335
125.387664,11,77746.877641
120.671036,11,77810.534534
123.056513,11,77877.847507
120.744077,11,77944.443974
59.094914,6,77979.811258
125.46923,11,78044.127078
120.791419,11,78109.91724
126.602604,10,78169.309733
121.268368,6,78205.810606
108.845402,5,78236.766728
141.80751,11,78303.548312
131.290718,7,78345.66749
115.066268,11,78409.758353
121.998539,11,78473.841139
123.666877,11,78540.656163
123.828103,11,78605.446769
86.737585,9,78658.64036
119.068157,11,78724.030637
77.051089,7,78767.125908
90.476543,9,78821.022274
3.0,1,78828.554352
102.981972,11,78894.74017
120.475457,11,78961.339561
108.936884,5,78991.538347
124.1399,11,79057.521171
104.026984,11,79123.858566
61.683608,6,79159.359854
119.259539,11,79223.794399
85.271481,8,79273.155112
83.661504,3,79292.752892
80.540068,7,79337.170845
124.224185,11,79403.219006
125.65809,11,79468.305209
102.184349,11,79531.409563
147.325685,8,79580.29582
125.758512,11,79646.28452
123.927525,11,79712.150156
125.694586,11,79777.052883
82.633895,7,79818.767084
122.008481,6,79854.466084
119.681589,11,79918.923527
61.643046,6,79955.782182
95.015492,10,80015.417214
122.134839,6,80052.782946
90.761381,7,80096.203381
115.772665,11,80163.215542
173.397865,10,80222.499088
121.776418,6,80259.48277
97.541699,11,80324.748016
125.225677,11,80389.284722
122.900915,11,80455.402537
120.034992,11,80520.753561
120.886677,11,80586.633739
124.49254,11,80652.512035
141.909071,8,80699.363997
171.191014,10,80760.727108
125.506968,11,80825.461055
125.116148,11,80893.19513
111.65834,11,80959.110621
123.02308,11,81026.578078
118.017419,11,81091.981293
121.484765,11,81158.964616
133.646453,7,81200.580658
122.791473,11,81266.076952
64.405878,6,81301.80934
116.206316,11,81366.47981
112.021756,11,81431.627967
119.638699,11,81496.563499
55.300841,7,81538.31061
3.0,1,81545.424017
119.779778,11,81609.047257
146.333597,8,81655.695962
147.036566,8,81703.439976
121.550749,11,81768.704947
126.164693,11,81833.687478
121.193468,11,81897.380385
123.38871,11,81962.996818
72.39101,7,82005.522842
121.629033,6,82042.405516
118.890716,11,82107.800858
117.429977,11,82174.304018
111.246799,9,82228.103831
122.88926,11,82294.026664
145.911862,8,82340.902868
68.440735,7,82383.540179
121.45763,11,82449.052956
123.701686,11,82513.28797
126.643144,11,82579.018647
160.095923,9,82631.919352
125.035404,11,82698.019556
86.202254,8,82747.228157
123.518085,11,82811.85211
124.353938,11,82877.117371
122.461709,6,82914.902704
117.148284,11,82980.415999
121.801074,11,83044.834622
123.387141,11,83110.54569
108.451117,5,83140.815398
121.965309,11,83204.668262
3.0,1,83212.417138
104.047052,11,83276.134459
118.312755,11,83343.263461
103.095852,11,83410.235802
115.283012,11,83472.832091
115.915235,11,83539.568639
81.362816,7,83582.514087
123.753815,11,83647.644917
86.083804,8,83696.646476
65.884106,6,83732.378837
123.482853,11,83799.251048
126.453859,11,83865.683964
115.310772,11,83930.17674
159.020183,9,83983.310472
120.389833,11,84046.995989
123.081658,11,84112.149057
121.473941,11,84177.935416
117.670201,11,84242.014209
140.707577,11,84309.378227
122.978983,11,84373.609779
87.37089,9,84427.158207
115.604307,11,84494.370033
123.906666,11,84559.356503
119.26815,11,84624.841323
123.950386,11,84692.205512
115.536263,11,84757.363138
121.981527,11,84822.324258
109.669023,5,84852.639667
105.897832,11,84917.791835
3.0,1,84925.156106
122.893061,11,84991.127901
121.997325,11,85057.927284
124.668408,11,85123.869418
100.856931,9,85177.592894
127.029192,11,85242.337724
119.790628,11,85308.319089
121.031135,11,85373.10426
99.427183,8,85420.590961
121.110847,11,85486.637048
96.147159,9,85542.165297
124.216328,11,85607.73027
124.124646,11,85672.522079
122.660375,11,85737.61919
155.514567,9,85789.167259
93.3182,4,85813.819818
74.640354,7,85855.601171
118.185088,11,85920.887794
106.81012,5,85952.901585
121.701747,11,86018.903511
125.9144,11,86084.473588
124.525064,11,86151.523093
118.134236,11,86217.115417
103.094122,10,86278.565279
102.900658,10,86340.84861
113.75094,11,86405.96565
70.485271,2,86419.697927
123.871965,11,86486.363954
123.567289,11,86552.135437
115.971256,11,86617.236795
121.144526,11,86683.029714
121.230702,11,86747.945004
120.216137,6,86785.667612
124.184819,11,86851.256339
122.395606,11,86917.445729
74.164746,8,86966.003017
120.390317,11,87032.193969
124.274835,11,87098.816802
116.043556,11,87163.449639
115.123745,11,87228.892125
125.896104,11,87293.412157
118.773358,11,87359.808772
119.018458,11,87426.011768
90.559414,8,87474.492325
115.806249,11,87539.741181
98.593966,11,87604.541774
109.215271,5,87636.874847
81.65907,7,87679.007614
125.688282,11,87743.823965
119.275998,11,87809.789735
125.802793,11,87876.661735
115.345328,11,87941.438862
112.181874,11,88006.630191
85.295858,8,88054.989212
106.624962,9,88109.509218
82.734678,8,88157.255673
123.037824,11,88221.719439
112.144637,11,88287.585718
125.578875,11,88351.293113
125.611457,11,88418.187915
120.317542,11,88484.893347
105.492326,11,88549.044469
82.706041,9,88603.840101
123.930696,11,88667.869502
51.900043,4,88693.903835
120.472747,11,88758.21772
140.781293,11,88824.412574
126.395495,11,88891.051378
111.064421,10,88954.040701
120.133853,11,89019.668292
125.799102,11,89085.702699
132.726678,7,89128.241775
125.649324,11,89193.397855
105.058948,11,89258.621202
122.525584,11,89322.496733
123.746642,11,89389.319702
125.944388,11,89454.213828
107.451236,10,89516.867958
121.400473,11,89583.412545
125.803604,11,89647.637814
126.141789,11,89711.37952
118.351557,11,89776.444624
78.423959,8,89823.014782
125.468625,7,89863.979328
112.100627,10,89926.276304
119.071753,11,89990.715987
120.658099,6,90026.851385
124.723654,11,90093.812562
117.411993,11,90160.501197
127.196994,11,90226.396409
98.466976,8,90274.058189
72.312478,7,90316.793288
123.798475,11,90382.441354
124.866089,11,90446.642929
124.572131,11,90513.207578
124.222185,11,90577.647092
95.092612,8,90626.54002
80.862049,8,90674.948906
123.920841,11,90742.475276
70.803953,2,90755.644502
122.770165,11,90818.606559
124.800625,11,90881.427645
124.91579,11,90948.137446
122.416742,11,91010.655224
131.623855,7,91053.462704
124.65117,11,91117.587973
124.278729,11,91183.771705
123.675306,11,91248.570579
122.930124,11,91314.778812
125.174522,11,91377.998131
75.722473,8,91425.353796
121.861153,11,91490.66889
119.520686,6,91528.103442
121.034904,11,91592.253232
118.924856,11,91659.134617
109.269811,5,91690.039052
125.75394,11,91755.502463
125.309287,11,91820.471149
118.658837,11,91884.983047
126.058317,11,91950.498652
122.298199,11,92015.687988
124.087394,11,92080.771375
115.592141,11,92146.739235
121.990345,11,92211.731361
83.378323,3,92231.005511
146.813547,8,92278.015079
119.396854,11,92343.851719
131.674469,7,92386.498691
123.631172,11,92451.863834
119.464624,10,92513.246612
121.04807,11,92577.464398
124.748193,11,92642.116162
120.767052,11,92707.545205
78.549406,7,92750.245471
112.517656,11,92814.811489
132.23236,7,92857.899923
124.267547,11,92922.241196
119.518586,11,92985.733095
126.223861,11,93049.966293
112.33166,11,93114.028608
97.113002,9,93167.378421
96.173675,10,93225.226926
122.304256,11,93289.460516
96.895768,9,93342.751599
125.408067,11,93407.910228
110.843772,11,93472.123677
107.60207,5,93503.12503
110.25104,11,93569.398999
122.748627,6,93605.447284
122.584501,11,93671.551496
126.402516,11,93737.6755
120.968271,6,93774.736298
82.914255,8,93823.063031
102.511212,8,93871.605356
126.060596,11,93938.340049
123.102353,11,94001.862713
124.949596,11,94065.428017
116.947854,11,94128.422043
118.365564,11,94193.353085
123.227311,11,94257.237944
122.953532,11,94321.829103
79.909163,7,94363.105697
141.31619,8,94411.726966
123.68378,11,94476.825862
114.123997,11,94541.375705
116.796722,11,94605.168869
116.631258,11,94667.551915
113.184925,6,94703.133199
122.624033,11,94767.504236
117.728766,11,94833.564112
125.685389,11,94896.84001
123.987011,11,94962.236742
116.967212,11,95029.249021
121.773619,11,95095.238737
119.723259,11,95159.781311
73.824079,7,95202.596905
117.508,11,95268.204491
125.062033,11,95334.035485
135.363463,7,95375.667789
83.865302,3,95395.165823
122.251548,11,95459.697747
135.597728,7,95502.738152
69.610957,2,95515.583797
123.223358,11,95580.815813
116.544006,11,95647.11593
118.002526,11,95712.969723
122.221062,11,95780.529086
126.724172,7,95823.033249
124.602753,11,95888.933667
124.235576,11,95953.743825
125.158951,10,96014.010776
116.887593,11,96080.08437
126.77057,11,96144.228276
125.418514,11,96210.143095
129.117669,7,96251.979904
135.534396,7,96293.683962
125.437449,11,96360.349056
127.651834,11,96424.974263
125.30042,11,96490.278546
139.469053,8,96537.140663
123.341924,11,96603.769638
108.710194,11,96671.044465
96.307529,9,96724.372913
126.304261,11,96787.913028
117.835518,11,96853.442075
123.005354,11,96919.506032
108.137858,5,96949.995345
123.17144,11,97012.945476
122.461267,11,97077.488734
119.556754,11,97141.488757
123.426552,11,97206.055374
126.318785,11,97271.236727
82.758055,3,97289.537201
113.204501,11,97353.810315
109.272549,10,97416.786125
126.5966,11,97481.977437
124.318146,11,97549.270263
123.919566,11,97614.545294
123.077135,11,97679.386679
124.561849,11,97746.224224
117.731489,11,97811.102504
95.55337,8,97858.105772
124.827939,11,97921.801174
134.805529,7,97964.300642
